No,Nama Tempat,Kategori,Koordinat,Latitude,Longitude,Alamat,Deskripsi
19,Lobang Jepang,Goa Buatan,S0 18 28.6 E100 21 56.4,-0.307944,100.365667,Jl. Panorama.,Informasi tidak ada
20,Tugu Ekuator,Tugu,N0 00 03.9 E100 13 12.3,0.001083,100.220083,"Nagari Ganggo Mudiak, Kec Bonjol, Kabupaten Pasaman.",Informasi tidak ada
21,Taman Wisata Keluarga Sakinah 'Lembah Segar',Taman Wisata,S0 18 55.2 E100 06 34.6,-0.315333,100.109611,Ujung Siguhung.,Informasi tidak ada
22,Bika Si Mariana,Kuliner,S0 23 56.8 E100 24 21.5,-0.399111,100.405972,"Nagari Koto Baru, Kec Sepuluh Koto, Kabupaten Tanah Datar.",Informasi tidak ada
23,Gulai Itiak Lado Mudo,Kuliner,S0 18 26.9 E100 21 36.4,-0.307472,100.360111,"Nagari Koto Gadang, Kec IV Koto Agam, Kabupaten Agam.",Informasi tidak ada
24,Air Terjun Lembah Anai,Air Terjun,S0 29 03.5 E100 20 16.2,-0.484306,100.337833,Jl. Raya Padang Panjang - Bukittinggi.,Informasi tidak ada
25,Ngarai Sianok,Lembah,S0 18 23.9 E100 21 48.8,-0.306639,100.363556,Jl. Panorama.,Informasi tidak ada
26,Air Terjun Lembah Harau,Air Terjun,S0 06 19.3 E100 40 30.4,-0.105361,100.675111,"Desa Lubuk Limpato, Nagari Tarantang, Kecamatan Harau, Kabupaten Limapuluh Kota.",Informasi tidak ada
27,Lembah Harau,Lembah,S0 06 02.6 E100 39 56.7,-0.100722,100.665750,"Desa Lubuk Limpato, Nagari Tarantang, Kecamatan Harau, Kabupaten Limapuluh Kota.",Informasi tidak ada
28,Ngalau Indah,Goa,S0 15 17.5 E100 36 15.6,-0.254861,100.604333,Jl. A. Yani no. 219.,Informasi tidak ada
29,Panorama Ampangan,Bukit,S0 16 10.4 E100 38 45.5,-0.269556,100.645972,"Nagari Aur Kuning Ampangan, Kec Payakumbuh Selatan, Kota Payakumbuh.",Informasi tidak ada
30,Ngalau Kamang,Goa,S0 12 16.2 E100 23 28.4,-0.204500,100.391222,"Jorong Durian, Kanagarian Kamang Mudik, Kecamatan Kamang Magek.",Informasi tidak ada
31,Danau Maninjau & Objek Wisata Muko-Muko,Danau,S0 17 29.1 E100 08 58.4,-0.291417,100.149556,"Kec Tanjung Raya, Kabupaten Agam.",Informasi tidak ada
32,Pesantren Buya Hamka,Sekolah,S0 43 39.2 E100 18 58.1,-0.727556,100.316139,Jl. Raya Padang - Pariaman.,Informasi tidak ada
33,Pusat Dokumentasi dan Informasi Minangkabau,Kantor Pemerintahan,S0 28 10.9 E100 22 47.3,-0.469694,100.379806,Jl. Raya Padang Panjang - Bukittinggi.,Informasi tidak ada
34,Minang Fantasy (MIFAN),Taman Bermain,S0 28 17.8 E100 22 40.3,-0.471611,100.377861,Jl. Raya Padang Panjang - Bukittinggi.,Informasi tidak ada
35,Pasar Padang Panjang,Pasar,S0 27 52.5 E100 24 02.7,-0.464583,100.400750,"Kec Panjang, Kota Padang.",Informasi tidak ada
36,Museum Imam Bonjol,Museum,S0 00 55.7 E100 13 24.9,-0.464583,100.223583,"Kec Bonjol, Kabupaten Pasaman.",Informasi tidak ada
37,Pantai Carocok Tarusan,Pantai,S1 14 47.0 E100 25 59.9,-1.246389,100.433306,Kecamatan Koto XI Kabupaten Pesisir Selatan.,Informasi tidak ada
38,Pantai Caroline,Pantai,S1 02 22.8 E100 24 43.0,-1.039667,100.411944,Kecamatan Teluk Bungus Kabupaten Pesisir Selatan.,Informasi tidak ada
39,Wisata Mandeh,Pantai,S1 13 33.5 E100 26 04.1,-1.225972,100.434472,"Kec Koto XI Tarusan, Kabupaten Pesisir Selatan.",Informasi tidak ada
40,Prasasti Kubu Rajo,Situs Purbakala,S0 27 40.1 E100 34 15.9,-0.461139,100.571083,Desa Kubu Rajo Nagari Lima Kaum.,Informasi tidak ada
41,Prasasti Adityawarman/Batu Basurek,Situs Purbakala,S0 27 35.8 E100 36 19.4,-0.459944,100.605389,Desa Kubu Rajo Nagari Lima Kaum.,Informasi tidak ada
42,Batu Batikam,Situs Purbakala,S0 27 42.7 E100 33 18.5,-0.461781,100.555139,"Desa Batu Taba, Kecamatan Batipuh",Informasi tidak ada
43,Rumah Gadang Rajo Balun,Benda Cagar Budaya,S1 24 27.1 E100 59 47.6,-1.407528,100.996556,Jorong Balun Nagari Pakan Rabaa Kecamatan Koto Parik Gadang,Informasi tidak ada
44,Rumah Gadang Rajo Disambah,Benda Cagar Budaya,S1 27 40.6 E101 01 53.2,-1.461278,101.031444,Nagari Pasir Talang Kecamatan Sungai Pagu,Informasi tidak ada
45,Rumah Gadang Bundo Kandung,Benda Cagar Budaya,S0 27 33.3 E100 36 36.0,-0.459250,100.610000,Kabupaten Tanah Datar,Informasi tidak ada
46,Istana Pagaruyung,Benda Cagar Budaya,S0 29 02.1 E100 35 33.7,-0.483917,100.592694,Kecamatan Tanjung Emas,Informasi tidak ada
47,Istana Silinduang Bulan,Benda Cagar Budaya,S0 27 57.6 E100 36 56.4,-0.466000,100.615667,Kecamatan Tanjung Emas,Informasi tidak ada
48,Gedung Kebudayaan Sawahlunto,Benda Cagar Budaya,S0 40 51.4 E100 46 37.2,-0.680944,100.777000,Jl. Achmad Yani Sawahlunto,Informasi tidak ada
49,Rumah Pek Sin Kek,Benda Cagar Budaya,S0 40 55.7 E100 46 39.1,-0.682139,100.777528,Sawahlunto,Informasi tidak ada
50,Tabek Patah,Panorama,S0 19 01.0 E100 32 12.2,-0.316944,100.536722,Nagari Tabek Patah Kecamatan Salimpaung,Informasi tidak ada
51,Kaki Gunung Talang,Gunung,S1 02 36.8 E100 41 52.0,-1.043556,100.697778,Kecamatan Gunung Talang Kabupaten Solok,Informasi tidak ada
52,Taman Nasional Kerinci Seblat,Taman Nasional,S1 35 29.0 E101 09 56.2,-1.591389,101.165611,Perbatasan Solok Selatan,Informasi tidak ada
53,Air Terjun Koto Birah,Air Terjun,S1 33 16.0 E101 14 38.6,-1.554444,101.244056,Kecamatan Sungai Pagu Jorong Koto Birah Nagari Koto Baru,Informasi tidak ada
54,Danau Di Atas,Danau,S1 02 36.6 E100 44 21.0,-1.043500,100.739167,Nagari Alahan Panjang Kecamatan Lembang Jaya,Informasi tidak ada
55,Danau Di Bawah,Danau,S1 02 42.1 E100 44 24.2,-1.045028,100.740056,Nagari Alahan Panjang Kecamatan Lembang Jaya,Informasi tidak ada
56,Danau Singkarak,Danau,S0 32 53.1 E100 31 21.2,-0.548083,100.522556,Perbatasan antara Kab. Tanah Datar dan Kab. Solok,Informasi tidak ada
57,Air Panas Sapan Maluluang,Pemandian Air Panas,S1 33 37.9 E101 07 20.4,-1.560528,101.122333,Kecamatan Sungai Pagu Jorong Ampalu Nagari Alam Pauh Duo,Informasi tidak ada
58,Museum Kereta Api Sawahlunto,Museum,S0 41 00.7 E100 46 38.1,-0.683528,100.777250,Jl. Abdul Rahman Hakim Kampung Teleng Sawahlunto,Informasi tidak ada
59,Museum Gudang Ransum,Museum,S0 40 45.1 E100 46 49.6,-0.679194,100.780444,"Kecamatan Sawahlunto, Kota Sawahlunto",Informasi tidak ada
60,Kerajinan Tenun Silungkang,Desa Wisata,S0 42 56.8 E100 46 51.8,-0.715778,100.781056,Dusun Lubuk Nan Gadang Kecamatan Silungkang,Informasi tidak ada
61,Lubang Tambang Mbah Soero,Desa Wisata,S0 40 46.0 E100 46 45.5,-0.679444,100.779306,Jl. Muhammad Yazid Lembah Segar Sawahlunto,Informasi tidak ada
62,Hotel Anordio,Hotel,S1 20 30.4 E100 34 58.7,-1.341778,100.582972,Jl. Rawang Kota Painan,Informasi tidak ada
63,Hotel Djakarta,Hotel,S0 56 45.0 E100 21 21.0,-0.945833,100.355833,Kota Padang,Informasi tidak ada
64,Penginapan Bunda,Hotel,S1 47 32.7 E100 50 02.3,-1.792417,100.833972,Kabupaten Pesisir Selatan,Informasi tidak ada
65,Pantai Air Manis,Pantai,S0 59 39.7 E100 21 52.6,-0.994361,100.364611,Kota Padang,Informasi tidak ada
66,Pantai Batu Kalang,Pantai,S1 15 45.6 E100 26 29.8,-1.262667,100.441611,Kabupaten Pesisir Selatan,Informasi tidak ada
67,Pantai Bungus / Caroline,Pantai,S1 02 13.7 E100 24 33.1,-1.037139,100.409194,Jl. Raya Padang - Painan km 20 / Jl. Raya Bungus. Kecamatan Teluk Kabung Kota Padang.,Informasi tidak ada
68,Pantai Carocok Painan,Pantai,S1 21 05.9 E100 33 57.3,-1.351639,100.565917,Kota Painan,Informasi tidak ada
69,Pantai Lengayang,Pantai,S1 40 31.9 E100 41 41.0,-1.675528,100.694722,Jl. Pasir putih - PS Gompong/ PS Kambang,Informasi tidak ada
70,Pantai Nirwana,Pantai,S1 00 53.7 E100 23 24.0,-1.014917,100.390000,Jl. Raya Padang - Painan km 10 Lubuk Menggalung,Informasi tidak ada
71,Pantai Sumedang,Pantai,S1 48 46.2 E100 46 56.5,-1.812833,100.782361,Kabupaten Pesisir Selatan,Informasi tidak ada
72,Pantai Taluak Tampuruang,Pantai,S1 29 26.0 E100 35 56.1,-1.490556,100.598917,Kabupaten Pesisir Selatan,Informasi tidak ada
73,Pantai Taluak Tampuruang (akses masuk),Pantai,S1 29 29.3 E100 36 40.0,-1.491472,100.611111,Kabupaten Pesisir Selatan,Informasi tidak ada
74,Air Terjun Bayang Sani,Air Terjun,S1 13 23.9 E100 34 02.9,-1.223306,100.567472,Kampung Kota Baru Kecamatan Bayang,Informasi tidak ada
75,Museum Adityawarman,Museum,S0 57 19.2 E100 21 21.9,-0.955333,100.356083,Jl. Diponegoro No 10 Kota Padang,Informasi tidak ada
76,Makam Ilyas Yacob,Makam,S1 13 53.9 E100 32 39.2,-1.231639,100.544222,Kabupaten Pesisir Selatan,Informasi tidak ada
77,Makam Siti Nurbaya,Makam,S0 57 55.5 E100 20 51.9,-0.965417,100.347750,"Nagari Batang Harau, Kecamatan Padang Selatan, Kota Padang",Informasi tidak ada
78,Rumah Gadang Mande Rubiah,Benda Cagar Budaya,S2 15 08.1 E101 07 35.1,-2.252250,101.126417,"Jl. Lubuk Sitepung, Nagari Lunang, Kecamatan Lunang Silaut Kabupaten Pesisir Selatan",Informasi tidak ada
79,Situs Makam Bundo Kanduang,Makam,S2 15 02.8 E101 07 39.3,-2.250778,101.127583,"Jl. Lubuk Sitepung, Nagari Lunang, Kecamatan Lunang Silaut Kabupaten Pesisir Selatan",Informasi tidak ada
80,Jembatan Akar,Jembatan,S1 10 56.4 E100 36 03.9,-1.182333,100.601083,"Kampung Pulut-pulut, Kecamatan Bayang Utara",Informasi tidak ada
81,Bukit Langkisau,Bukit,S1 20 27.0 E100 34 27.6,-1.340833,100.574333,Kota Painan,Informasi tidak ada
82,Pulau Cingkuak,Pulau,S1 21 12.5 E100 33 35.7,-1.353472,100.559917,Kota Painan,Informasi tidak ada
83,Pulau Kereta,Pulau,S1 21 11.5 E100 33 52.4,-1.353194,100.564556,Kota Painan,Informasi tidak ada
84,Taman Siti Nurbaya (Bukit Siti Nurbaya),Bukit,S0 57 55.2 E100 20 55.6,-0.965333,100.348778,"Nagari Batang Harau, Kecamatan Padang Selatan, Kota Padang",Informasi tidak ada
85,Dinas Kebudayaan dan Pariwisata Kab Pesisir Selatan,Kantor Pemerintahan,S1 20 23.7 E100 35 10.0,-1.339917,100.586111,Jl. Pahlawan Medan nan Bapaneh Painan,Informasi tidak ada
86,Pelabuhan Teluk Bayur,Pelabuhan,S0 59 44.9 E100 22 26.4,-0.995806,100.374000,Jl. Tanjung Priok,Informasi tidak ada
87,SPBU Batang Arau,SPBU,S0 57 53.8 E100 21 28.0,-0.964944,100.357778,Jl. Raya Batang Arau,Informasi tidak ada
88,SPBU Batang Kapas,SPBU,S1 26 49.3 E100 35 58.1,-1.447028,100.599472,Jl. Raya Batang Kapas,Informasi tidak ada
89,SPBU Bungus,SPBU,S1 01 52.4 E100 24 55.2,-1.031222,100.415333,Kabupaten Pesisir Selatan,Informasi tidak ada
90,SPBU Indrapura,SPBU,S2 02 37.5 E100 59 30.4,-2.043750,100.991778,Kabupaten Pesisir Selatan,Informasi tidak ada
91,SPBU Salido,SPBU,S1 19 13.8 E100 33 25.6,-1.320500,100.557111,Kabupaten Pesisir Selatan,Informasi tidak ada
92,RM Gulai Ikan Pak Malin,Rumah Makan,S1 01 43.4 E100 25 03.4,-1.028722,100.417611,Kabupaten Pesisir Selatan,Informasi tidak ada
93,Waterboom,Wisata Minat Khusus,S0 42 26.6 E100 47 45.7,-0.707389,100.796028,Kota Sawahlunto,Informasi tidak ada
94,Panorama Satu Sitinjau Lauik,Wisata Alam,S0 56 17 E100 32 03.1,-0.938167,100.534194,"Jalan Solok - Padang, Lubuk Kilangan",Informasi tidak ada
95,Panorama Dua Sitinjau Lauik,Wisata Alam,S0 57 05.4 E100 30 17.2,-0.951500,100.504778,"Jalan Solok - Padang, Lubuk Kilangan",Informasi tidak ada
96,Air Terjun Sarasah,Wisata Alam,S0 56 04.1 E100 29 18,-0.934472,100.488333,"Desa Koto Baru, Kel. Limau Manis Selatan, Kec. Pauh",Informasi tidak ada
97,Manasik Haji,Wisata Religi,S0 51 18.2 E100 23 46.3,-0.855056,100.396194,"Jalan Lubuk Minturun, Koto Tengah, Padang",Informasi tidak ada
98,Pemandian Lubuk Minturun,Wisata Alam,S0 50 26.8 E100 22 34.2,-0.840778,100.376167,"Jalan Lubuk Minturun, Koto Tengah, Padang",Informasi tidak ada
99,Makam M. Yamin,Wisata Budaya,S0 35 19.0 E100 44 08.6,-0.588611,100.735722,"Jalan Talawi, Batu Sangkar, Sawahlunto",Informasi tidak ada
100,Taman Satwa Kandi,Wisata Alam,S0 37 08.0 E100 44 48.8,-0.618889,100.746889,Kota Sawahlunto,Informasi tidak ada
101,Taman Wisata Kandi,Wisata Alam,S0 37 17.2 E100 44 51.4,-0.621444,100.747611,Kota Sawahlunto,Informasi tidak ada
102,Kawasan Wisata Musiduga,Wisata Alam,S0 39 49.7 E100 56 28.9,-0.663806,100.941361,"Jalan M. Yamin, Muara Sijunjunjung Sawahlunto",Informasi tidak ada
103,Ngalau Basurek,Wisata Minat Khusus,S0 37 52.6 E100 59 43.6,-0.631278,100.995444,"Koto Tujuh, Sijunjung",Informasi tidak ada
104,Ngalau Lagung,Wisata Minat Khusus,S0 40 47.1 E101 05 30.5,-0.679750,101.091806,"Aie Angek, Kec. Sijunjung, Sijunjung",Informasi tidak ada
105,Pemandian Aie Angek,Wisata Alam,S0 40 59.8 E101 05 16.2,-0.683278,101.087833,"Aie Angek, Kec. Sijunjung, Sijunjung",Informasi tidak ada
106,Anai Resort (Malimbu Anai),Hotel,S0 29 57.2 E100 20 04.9,-0.499222,100.334694,"Kandang Ampek, Lembah Anai",Informasi tidak ada
107,Bambu Hotel,Hotel,S0 14 06.0 E100 38 26.5,-0.235000,100.640694,Jl. M. Yamin no. 23 Labuah Basilang,Informasi tidak ada
108,Lembah Echo Hotel,Hotel,S0 06 23.0 E100 39 54.1,-0.106389,100.665028,"Desa Lubuk Limpato, Nagari Tarantang, Kecamatan Harau, Kabupaten Limapuluh Kota",Informasi tidak ada
109,Hotel Pasir Panjang,Hotel,S0 17 28.7 E100 13 38.0,-0.291306,100.227222,"Jl. Raya Maninjau - Bukittinggi, Maninjau, Sumatra Barat",Informasi tidak ada
110,Pantai Arta,Pantai,S0 30 30.7 E100 02 49.2,-0.508528,100.047000,"Jl. Pariaman Siku, Sungai Limau",Informasi tidak ada
111,Pantai Gandoriah,Pantai,S0 37 38.0 E100 06 59.3,-0.627222,100.116472,Kota Pariaman,Informasi tidak ada
112,Pantai Kata,Pantai,S0 38 46.5 E100 07 57.3,-0.646250,100.132583,"Nagari Taluak, Kecamatan Lintau Buo, Kota Pariaman",Informasi tidak ada
113,Pantai Pasir Jambak,Pantai,S0 50 58.4 E100 19 34.0,-0.849556,100.326111,"Nagari Pasir Jambak, Kec Koto Tangah, Kota Padang",Informasi tidak ada
114,Situs Haji Miskin,Situs Purbakala,S0 24 02.5 E100 23 51.5,-0.400694,100.397639,"Nagari Pandai Sikek, Kec Sepuluh Koto, Kabupaten Tanah Datar",Informasi tidak ada
115,Benteng Fort de Kock,Benda Cagar Budaya,S0 18 02.7 E100 22 03.7,-0.300750,100.367694,Jl. Pemuda,Informasi tidak ada
116,Istana Bung Hatta,Benda Cagar Budaya,S0 18 21.7 E100 22 08.0,-0.306028,100.368889,Jl. H. Agus Salim,Informasi tidak ada
117,Jam Gadang,Benda Cagar Budaya,S0 18 19.2 E100 22 09.9,-0.305333,100.369417,Jl. Pasar Atas,Informasi tidak ada
118,Rumah Kelahiran Bung Hatta,Benda Cagar Budaya,S0 18 03.5 E100 22 23.2,-0.300972,100.373111,Jl. Soekarno Hatta no. 37,Informasi tidak ada
119,Stasiun Pariaman,Benda Cagar Budaya,S0 37 36.1 E100 07 00.3,-0.626694,100.116750,"Jl. Diponegoro, Kampung Pondok I, Pariaman Tengah",Informasi tidak ada
120,Makam Syekh Burhanuddin,Benda Cagar Budaya,S0 41 53.2 E100 11 01.3,-0.698111,100.183694,"Nagari Ulakan, Kec Ulakan Tapakis, Kabupaten Padang Pariaman",Informasi tidak ada
121,Rumah Puisi Taufiq Ismail,Objek Khusus,S0 24 48.7 E100 24 21.9,-0.413528,100.406083,Jl. Raya Padang Panjang - Bukittinggi,Informasi tidak ada
122,Pusat Kerajinan Pandai Sikek,Objek Khusus,S0 23 41.9 E100 24 14.2,-0.394972,100.403944,Jl. Raya Padang Panjang - Bukittinggi,Informasi tidak ada
123,Silver Work Koto Gadang,Objek Khusus,S0 18 55.0 E100 21 20.7,-0.315278,100.355750,"Nagari Koto Gadang, Kec IV Koto Agam, Kabupaten Agam",Informasi tidak ada
124,Lobang Jepang,Goa Buatan,S0 18 28.6 E100 21 56.4,-0.307944,100.365667,Jl. Panorama,Informasi tidak ada
125,Tugu Ekuator,Tugu,N0 00 03.9 E100 13 12.3,0.001083,100.220083,"Nagari Ganggo Mudiak, Kec Bonjol, Kabupaten Pasaman",Informasi tidak ada
126,"Taman Wisata Keluarga Sakinah """"Lembah Segar""""",Taman Wisata,S0 18 55.2 E100 06 34.6,-0.315333,100.109611,Ujung Siguhung,Informasi tidak ada
127,Bika Si Mariana,Kuliner,S0 23 56.8 E100 24 21.5,-0.399111,100.405972,"Nagari Koto Baru, Kec Sepuluh Koto, Kabupaten Tanah Datar",Informasi tidak ada
128,Gulai Itiak Lado Mudo,Kuliner,S0 18 26.9 E100 21 36.4,-0.307472,100.360111,"Nagari Koto Gadang, Kec IV Koto Agam, Kabupaten Agam",Informasi tidak ada
129,Air Terjun Lembah Anai,Air Terjun,S0 29 03.5 E100 20 16.2,-0.484306,100.337833,Jl. Raya Padang Panjang - Bukittinggi,Informasi tidak ada
130,Ngarai Sianok,Lembah,S0 18 23.9 E100 21 48.8,-0.306639,100.363556,Jl. Panorama,Informasi tidak ada
131,Air Terjun Lembah Harau,Air Terjun,S0 06 19.3 E100 40 30.4,-0.105361,100.675111,"Desa Lubuk Limpato, Nagari Tarantang, Kecamatan Harau, Kabupaten Limapuluh Kota",Informasi tidak ada
132,Lembah Harau,Lembah,S0 06 02.6 E100 39 56.7,-0.100722,100.665750,"Desa Lubuk Limpato, Nagari Tarantang, Kecamatan Harau, Kabupaten Limapuluh Kota",Informasi tidak ada
133,Ngalau Indah,Goa,S0 15 17.5 E100 36 15.6,-0.254861,100.604333,Jl. A. Yani no. 219,Informasi tidak ada
134,Panorama Ampangan,Bukit,S0 16 10.4 E100 38 45.5,-0.269556,100.645972,"Nagari Aur Kuning Ampangan, Kec Payakumbuh Selatan, Kota Payakumbuh",Informasi tidak ada
135,Ngalau Kamang,Goa,S0 12 16.2 E100 23 28.4,-0.204500,100.391222,"Jorong Durian, Kanagarian Kamang Mudik, Kecamatan Kamang Magek",Informasi tidak ada
136,Danau Maninjau & Objek Wisata Muko-Muko,Danau,S0 17 29.1 E100 08 58.4,-0.291417,100.149556,"Kec Tanjung Raya, Kabupaten Agam",Informasi tidak ada
137,Pesantren Buya Hamka,Sekolah,S0 43 39.2 E100 18 58.1,-0.727556,100.316139,Jl. Raya Padang - Pariaman,Informasi tidak ada
138,Pusat Dokumentasi dan Informasi Minangkabau,Kantor Pemerintahan,S0 28 10.9 E100 22 47.3,-0.469694,100.379806,Jl. Raya Padang Panjang - Bukittinggi,Informasi tidak ada
139,Minang Fantasy (MIFAN),Taman Bermain,S0 28 17.8 E100 22 40.3,-0.471611,100.377861,Jl. Raya Padang Panjang - Bukittinggi,Informasi tidak ada
140,Pasar Padang Panjang,Pasar,S0 27 52.5 E100 24 02.7,-0.464583,100.400750,"Kec Panjang, Kota Padang",Informasi tidak ada
141,Museum Imam Bonjol,Museum,S0 00 55.7 E100 13 24.9,-0.464583,100.223583,"Kec Bonjol, Kabupaten Pasaman",Informasi tidak ada
142,Pantai Carocok Tarusan,Pantai,S1 14 47.0 E100 25 59.9,-1.246389,100.433306,Kecamatan Koto XI Kabupaten Pesisir Selatan,Informasi tidak ada
143,Pantai Caroline,Pantai,S1 02 22.8 E100 24 43.0,-1.039667,100.411944,Kecamatan Teluk Bungus Kabupaten Pesisir Selatan,Informasi tidak ada
144,Wisata Mandeh,Pantai,S1 13 33.5 E100 26 04.1,-1.225972,100.434472,"Kec Koto XI Tarusan, Kabupaten Pesisir Selatan",Informasi tidak ada
145,Prasasti Kubu Rajo,Situs Purbakala,S0 27 40.1 E100 34 15.9,-0.461139,100.571083,Desa Kubu Rajo Nagari Lima Kaum,Informasi tidak ada
146,Prasasti Adityawarman/Batu Basurek,Situs Purbakala,S0 27 35.8 E100 36 19.4,-0.459944,100.605389,Desa Kubu Rajo Nagari Lima Kaum,Informasi tidak ada
147,Batu Batikam,Situs Purbakala,S0 27 42.7 E100 33 18.5,-0.461781,100.555139,"Desa Batu Taba, Kecamatan Batipuh",Informasi tidak ada
148,Rumah Gadang Rajo Balun,Benda Cagar Budaya,S1 24 27.1 E100 59 47.6,-1.407528,100.996556,Jorong Balun Nagari Pakan Rabaa Kecamatan Koto Parik Gadang,Informasi tidak ada
149,Rumah Gadang Rajo Disambah,Benda Cagar Budaya,S1 27 40.6 E101 01 53.2,-1.461278,101.031444,Nagari Pasir Talang Kecamatan Sungai Pagu,Informasi tidak ada
150,Rumah Gadang Bundo Kandung,Benda Cagar Budaya,S0 27 33.3 E100 36 36.0,-0.459250,100.610000,Kabupaten Tanah Datar,Informasi tidak ada
151,Istana Pagaruyung,Benda Cagar Budaya,S0 29 02.1 E100 35 33.7,-0.483917,100.592694,Kecamatan Tanjung Emas,Informasi tidak ada
152,Istana Silinduang Bulan,Benda Cagar Budaya,S0 27 57.6 E100 36 56.4,-0.466000,100.615667,Kecamatan Tanjung Emas,Informasi tidak ada
153,Gedung Kebudayaan Sawahlunto,Benda Cagar Budaya,S0 40 51.4 E100 46 37.2,-0.680944,100.777000,Jl. Achmad Yani Sawahlunto,Informasi tidak ada
154,Rumah Pek Sin Kek,Benda Cagar Budaya,S0 40 55.7 E100 46 39.1,-0.682139,100.777528,Sawahlunto,Informasi tidak ada
155,Tabek Patah,Panorama,S0 19 01.0 E100 32 12.2,-0.316944,100.536722,Nagari Tabek Patah Kecamatan Salimpaung,Informasi tidak ada
156,Kaki Gunung Talang,Gunung,S1 02 36.8 E100 41 52.0,-1.043556,100.697778,Kecamatan Gunung Talang Kabupaten Solok,Informasi tidak ada
157,Taman Nasional Kerinci Seblat,Taman Nasional,S1 35 29.0 E101 09 56.2,-1.591389,101.165611,Perbatasan Solok Selatan,Informasi tidak ada
158,Air Terjun Koto Birah,Air Terjun,S1 33 16.0 E101 14 38.6,-1.554444,101.244056,Kecamatan Sungai Pagu Jorong Koto Birah Nagari Koto Baru,Informasi tidak ada
159,Danau Di Atas,Danau,S1 02 36.6 E100 44 21.0,-1.043500,100.739167,Nagari Alahan Panjang Kecamatan Lembang Jaya,Informasi tidak ada
160,Danau Di Bawah,Danau,S1 02 42.1 E100 44 24.2,-1.045028,100.740056,Nagari Alahan Panjang Kecamatan Lembang Jaya,Informasi tidak ada
161,Danau Singkarak,Danau,S0 32 53.1 E100 31 21.2,-0.548083,100.522556,Perbatasan antara Kab. Tanah Datar dan Kab. Solok,Informasi tidak ada
